codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
A20,1,Pedido/discussão eutanásia,Pedido/discussão eutanásia,Z71.8,Z71.8,,,,,,
A21,1,Fator de risco de malignidade,Fator de risco de malignidade,"Z80, Z85",Z80,,"história pessoal ou familiar, tratamento anterior, ou outros fatores de risco de malignidade",,,,
A23,1,Fator de risco NE,Fator de risco NE,"Z20, Z28, Z72.0, Z72.1, Z72.2, Z72.3, Z72.4, Z72.5, Z73.2, Z81, Z82.0, Z82.1, Z82.2, Z82.5, Z82.6, Z82.7, Z82.8, Z83, Z84, Z86.0, Z86.1, Z86.2, Z86.3, Z86.4, Z86.5, Z86.6, Z87, Z88, Z91.0, Z91.1, Z91.2, Z91.3, Z91.4, Z91.5, Z91.6, Z91.8, Z92",Z91.8,,"contato com doença infecciosa, história pessoal ou familiar, episódio anterior, ou outros fatores de risco de outras doenças","fator de risco de malignidade A21, de doença cardiovascular K22",,,
A25,1,Medo de morrer/medo da morte,Medo de morrer/medo da morte,Z71.1,Z71.1,,,,,,
A26,1,Medo de câncer NE,Medo de câncer NE,Z71.1,Z71.1,receio de um paciente ter câncer sem o ter ou até o diagnóstico ser confirmado,,"se o paciente tem câncer, codifique a doença",,,
A27,1,Medo de outra doença NE,Medo de outra doença NE,Z71.1,Z71.1,"receio de um paciente ter outra doença sem a ter, ou até o diagnóstico ser confirmado",,"se o paciente tiver uma doença, codifique-a",,,
A28,1,Limitação funcional/incapacidade NE,Limitação funcional/incapacidade NE,"Z73.6, Z74, Z99.0, Z99.3, Z99.8, Z99.9",Z73.6,limitação funcional/ incapacidade não relacionada a algum problema de outro capitulo,restrição de uma função ou incapacidade que não está relacionada com nenhuma doença inserida em qualquer outro capítulo,quedas A29,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8 do manual).,
A29,1,Outros sinais/sintomas gerais,Outros sinais/sintomas gerais,"R26.8, R68.0, R68.8",R68.8,,"inépcia, sonolência, quedas, dor não especificada",,,,
A70,7,Tuberculose,Tuberculose,"A15, A16, A17, A18, A19, B90, N74.0, N74.1",A16,conversão para um teste positivo de tuberculina; ou demonstração de Mycobacterium Tuberculosis por microscopia ou cultura; ou manifestação característica na radiografia do tórax; ou manifestação histológica característica por biópsia ,"todo o tipo de infecções de tuberculose em qualquer parte do corpo, efeitos tardios.",,"febre A03, tosse R05",,
A71,7,Sarampo,Sarampo,B05,B05,"pródromo com injeção das conjuntivas, febre e tosse; manchas brancas em base vermelha nas membranas da mucosa jugal (manchas de Koplik), ou erupção maculopapular confluente na face e corpo, ou exantema atípico num indivíduo parcialmente imune durante um surto de sarampo, ou manifestação serológica de sarampo agudo ",complicações de sarampo,,"febre A03, doença viral com exantema A76, erupção cutânea S07",,
A72,7,Varicela,Varicela,B01,B01,": exantema vesicular, em que as lesões evoluem rapidamente de pápulas superficiais a vesículas e, eventualmente, a crostas",complicações de varicela,herpes zoster S70,"febre A03, doença viral com exantema A76, erupção cutânea S07",,
A73,7,Malária,Malária,"B50, B51, B52, B53, B54",B54,febre intermitente com calafrios e suores frios num habitante ou visitante recente de uma região com malária; ou demonstração de formas do parasita da malária no sangue periférico,complicações de malária,profilaxia da malária A44,febre A03,,
A74,7,Rubéola,Rubéola,B06,B06,"exantema agudo com nódulos linfáticos dilatados, normalmente suboccipital e retroauricular, erupção cutânea primeiro na face, depois no tronco e região proximal dos membros; ou evidência serológica de infecção de rubéola","complicações da rubéola, rubéola congênita",roséola infantil A76,"febre A03, doença viral com exantema A76, erupção cutânea S07",,
A75,7,Mononucleose infecciosa,Mononucleose infecciosa,B27,B27,"inflamação das amígdalas ou da faringe com linfadenopatia não confinada aos nódulos cervicais anteriores, e linfócitos atípicos no esfregaço de sangue ou esplenomegalia; ou titulo aumentado de anticorpos heterófilos anormais ou pesquisa positiva de vírus de EB",febre glandular,,febre A03; nódulos linfáticos aumentados B02; infecção aguda do trato respiratório superior R74,,
A76,7,Outro exantema viral,Outro exantema viral,"A88.0, B03, B04, B08.0, B08.2, B08.3, B08.4, B08.8, B09",B09,,"febre com erupção cutânea, quinta doença, roséola infantil","doenças especificadas em A71, A72, A74, A75",,,
A77,7,Dengue e outras doenças virais NE,Dengue e outras doenças virais NE,"A82, A90, A91, A92, A93, A94, A95, A96, A98, A99, B00.7, B25, B33.0, B33.1, B33.3, B33.8, B34, B97",B34,,"adenovírus; vacina; doenças por Coxsackie; dengue; doença das mãos, pés e boca; febre de Ross River","exantemas virais A76, gripe R80",,,
A78,7,Hanseníase e outras doenças infecciosas NE,Hanseníase e outras doenças infecciosas NE,"A20, A21, A22, A23, A24, A25, A26, A27, A28, A30, A31, A32.0, A32.1, A32.7, A32.8, A32.9, A38, A39.1, A39.2, A39.3, A39.4, A39.8, A39.9, A40, A41, A42, A43, A44, A48.0, A48.2, A48.3, A48.4, A48.8, A49, A59.8, A59.9, A64, A68, A69.2, A69.8, A69.9, A70, A74.8, A74.9, A75, A77 A79, B37.7, B37.8, B37.9, B38, B39, B40, B41, B42, B43, B44, B45, B46, B47, B48, B49, B55, B57, B58.8, B58.9, B59, B60, B64, B89, B92, B94.8, B94.9, B95, B96, B99, K77.0",B99,,brucelose; infecções com localização não especificada; doença de Lyme; infecções meningocócicas; mycoplasma; febre Q; riquetsiose; escarlatina; doença sexualmente transmissível NE; aftas NE; toxoplasmose,meningite meningocócica N71,,,
A79,7,Carcinomatose (localização primária desconhecida),Carcinomatose (localização primária desconhecida),"C38.8, C45.9, C46.7, C46.8, C46.9, C76, C78, C79, C80, C97, D09.7, D09.9",C80,: evidência histológica de malignidade,neoplasias secundárias e metastáticas com localização primária desconhecida,,outra doença generalizada A99,,
A80,7,Lesão traumática/acidente NE,Lesão traumática/acidente NE,"S11, S15, S21, S25, S26, S35, S37.9, S38.1, S38.3, S39.0, S39.8, S39.9, S45, S55, S65, S75, S85, S95, T11.4, T13.4, T14.5, T14.7, T14.8, T14.9, T28.4, T28.9",T14,,acidente de trânsito,"lesão traumática múltipla A81, efeitos tardios de lesão traumática A82",,,
A81,7,Politraumatismos/ferimentos múltiplos,Politraumatismos/ferimentos múltiplos,"S17.8, S17.9, S18, S19.7, S19.8, S19.9, S28, S29, S31.7, S36.7, S37.7, S37.8, S39.0, S39.6, S39.7, S39.8, S39.9, T00, T01, T02, T03, T04, T05, T06.5, T06.8, T07, T29",T07,,lesões internas NE,,,"Nesta classificação, os termos “geral” e “múltiplo” referem-se a três ou mais localizações corporais ou sistemas. As condições que afetam uma ou duas zonas deverão ser codificadas nestas.",
A82,7,Efeito secundário de lesão traumática,Efeito secundário de lesão traumática,"T79.0, T79.1, T79.2, T79.4, T79.5, T79.7, T79.8, T79.9, T90, T91, T92, T93, T94, T95, T96, T97, T98",T94.1,,"seqüelas, cicatrizes resultante de ferimentos anteriores; amputação anterior",efeitos relacionados com sistemas corporais específicos (codificar no capítulo dos sistemas); efeitos psicológicos P02; reação aguda ao stress P02; perturbação de estresse pós-traumático P82; ferida infectada S11; cicatriz S99,,,
A84,7,Intoxicação por medicamento,Intoxicação por medicamento,"T36, T37, T38, T39, T40, T41, T42, T43, T44, T45, T46, T47, T48, T49, T50",T50,toxicidade ou incapacidade provocada por overdose acidental ou deliberada de um agente com propriedades medicinais quando tomado na dose habitual,overdose,abuso de medicação P18; tentativa de suicídio P77; coma insulínico T87 ,,,
A85,7,Efeito adverso de fármaco dose correta,Efeito adverso de fármaco na dose correta,"D61.1, D64.2, G44.4, I95.2, L27.0, L27.1, T88.6, T88.7",T88.7,"sinais e sintomas atribuídos à ingestão adequada de medicamentos, e não a uma doença ou ferimento","efeitos secundários, alergia e anafilaxia devidos a medicação em dose correta",overdose ou envenenamento A84; reação à imunização e transfusão A87; Parkinsonismo N87; dependência ou habituação P18; dermatite de contato S88; coma insulínico T87 ,,É possível ainda codificar a natureza dos efeitos secundários,
A86,7,Efeito tóxico de substância não medicinal,Efeito tóxico de substância não medicinal,"D61.2, D64.2, T51, T52, T53, T54, T55, T56, T57, T58, T59, T60, T61, T62, T63, T64, T65",T65,,"monóxido de carbono; efeitos gerais ou locais; materiais industriais; chumbo; animais, insetos, plantas, serpentes venenosas ","devido à agentes medicinais A84, A85, ou ao álcool, tabaco, drogas P16 a P19; efeitos tóxicos respiratórios R99; queimaduras químicas - internas ou externas S14; mordeduras não-tóxicas S12, S13; dermatite de contato S88",,,
A87,7,Complicações de tratamento médico,Complicações de tratamento médico,"E89, G97, H59, H95, I97, J95, K91.0, K91.3, M96, N99, O29, O74, O86.0, O89, O90.0, O90.1, O90.2, T80, T81, T86, T87, T88.0, T88.1, T88.2, T88.3, T88.4, T88.5, T88.8, T88.9",T88,"perturbações inesperadas resultantes da cirurgia, tratamento com medicamentos, radioterapia ou qualquer outra forma de terapêutica","choque anestésico; reações a imunização e transfusão; ruptura, infecção, hemorragia de ferida operatória; problemas resultantes de radiação diagnóstica ou terapêutica","perturbações inesperadas resultantes da cirurgia, tratamento com medicamentos, radioterapia ou qualquer outra forma de terapêutica",,,
A88,7,Efeito adverso de fator físico,Efeito adverso de fator físico,"T33, T34, T35, T66, T67, T68, T69, T70.2, T70.3, T70.4, T70.8, T70.9, T71, T73, T75, T78.8, T78.9",T75,,frio; calafrios; afogamento; calor; jetlag (cansaço e distúrbios causados pela diferença de fuso horário); trovoada; movimento; pressão; radiação,efeitos de radiação médica A87; cegueira da neve F79; efeitos do álcool P16; efeitos do tabaco P17; queimaduras de radiação S14; queimadura solar S88,,,
A89,7,Efeito da prótese,Efeito da prótese,"K91.4, T82, T83, T84, T85, Z43, Z44, Z45, Z46.1, Z46.2, Z46.4, Z46.5, Z46.6, Z46.7, Z46.8, Z46.9, Z93, Z94, Z95, Z96, Z97",T85,,"incapacidade, desconforto, deficiência, dor ou limitação da função resultante da utilização de uma prótese corretora de uma deficiência; cateter; prótese dentária; válvula cardíaca; prótese articular; transplante de órgão; marcapasso",efeito da dentadura/ dentes falsos D19,,,
A90,7,Malformação congênita NE/múltiplas,Malformação congênita NE/múltiplas,"Q85, Q86, Q87, Q89.3, Q89.4, Q89.7, Q89.9, Q90, Q91, Q92, Q93, Q95, Q96, Q97, Q98, Q99",Q89,,síndrome de Down; síndrome de Marfan; outras malformações cromossômicas,malformações relacionadas com sistemas corporais específicos (codificar no capítulo dos sistemas),,,
A91,7,Investigação com resultado anormal NE,Investigação com resultado anormal NE,"R73, R74, R76, R77, R78, R79, R83, R84, R85, R86, R87, R89, R90, R91, R92, R93, R94",R89,resultados anormais que não podem ser atribuídos a doença conhecida,teste ou imagiologia anormal e inexplicável; perturbação eletrolítica ,células brancas anormais B84; anomalia hematológica B99; teste de urina anormal U98; esfregaço de pap anormal X86,,,
A92,7,Alergia/reação alérgica NE,Alergia/reação alérgica NE,"T78.0, T78.1, T78.2, T78.3, T78.4",T78.4,,"todas as reações alérgicas não especificadas em qualquer outra parte, edema alérgico, choque anafilático, edema angioneurótico","urticária S98, conseqüência de medicação A85, rinite alérgica R97",,,
A93,7,Recém nascido prematuro,Recém nascido prematuro,P07,P07.3,nascido-vivo com menos de 36 semanas de gestação,,,,,
A94,7,"Morbidade perinatal, outra","Morbidade perinatal, outra","P00, P01, P02, P03, P04, P05, P08, P10, P11, P12, P13, P14, P15, P20, P21, P22, P23, P24, P25, P26, P27, P28, P29, P35, P36, P37, P38, P39, P50, P51, P52, P53, P54, P55, P56, P57, P58, P59, P60, P61, P70, P71, P72, P74, P75, P76, P77, P78, P80, P81, P83, P90, P91, P92, P93, P94, P96",P96,morbidade até 4 semanas após o parto,,condições congênitas A90; atraso de crescimento T10,,,
A95,7,Mortalidade perinatal,Mortalidade perinatal,"P95, R95",P95,morte até 4 semanas após o parto,,,,,
A96,7,Morte,Morte,"R95, R96, R98, R99",R99,,,perinatal A95,,,
A97,7,Sem doença,Sem doença,"Z00, Z02",Z02.9,,nenhuma doença ou afecção detectada durante a consulta,medicina preventiva/manutenção da saúde A98,,"Às vezes o paciente apresenta um motivo da consulta que o profissional não pode interpretar como um diagnóstico do domínio da atenção primária à saúde. Nestes casos o profissional deve usar o código A97, indicando que o motivo da consulta do paciente se refere a algo que o profissional não pode lidar, exceto explicando que este é o caso",
A98,7,Medicina preventiva/manutenção da saúde,Medicina preventiva/manutenção da saúde,"Z01, Z10, Z11, Z12, Z13, Z23, Z24, Z25, Z26, Z27, Z29, Z31.5, Z40, Z70",Z01,,"aconselhamento/ procedimento médico com o propósito preventivo, incluindo aconselhamento genético",sem doença A97,,,
A99,7,Outras doenças gerais NE,Outras doenças gerais NE,"D15.7, D15.9, D36.7, D36.9, D48.9, R69, Z03, Z04, Z08, Z09, Z22, Z41, Z42, Z47, Z48, Z49, Z50, Z51, Z52, Z53, Z54, Z71.0, Z71.2, Z71.3, Z71.4, Z71.5, Z71.6, Z71.7, Z71.8, Z71.9, Z76.0, Z76.1, Z76.2, Z76.3, Z76.4, Z76.8, Z76.9, Z90.0, Z90.8, Z98.8",R69,,doença ou condição de natureza ou localização não especificadas; portador de doença,,,,
B02,1,Gânglio linfático aumentado/doloroso,Gânglio linfático aumentado/doloroso,R59,R59,,linfadenopatia com ou sem dor/sensibilidade,"linfadenite - aguda B70, crônica B71",,,
B04,1,Sinais/sintomas sangue,Sinais/sintomas sangue,R68.8,R68.8,,,"anemia B82, palidez S08",,,
B25,1,Medo de VIH/ HIV/SIDA/ AIDS,Medo de VIH/ HIV/SIDA/ AIDS,Z71.1,Z71.1,"paciente que receia ter AIDS ou HIV sem os ter, ou até o diagnóstico ser confirmado",,"se o paciente tem a doença, codifique-a",,,
B26,1,Medo de câncer no sangue/linfático,Medo de câncer no sangue/linfático,Z71.1,Z71.1,"paciente que receia ter a doença sem a ter, ou até o diagnóstico ser confirmado",,"se o paciente tem a doença, codifique-a",,,
B27,1,Medo de outras doenças do sangue /vasos linfáticos,Medo de outras doenças do sangue /vasos linfáticos,Z71.1,Z71.1,"paciente que receia ter outra doença sem a ter, ou até o diagnóstico ser confirmado",,"se o paciente tem a doença, codifique-a",,,
B28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,limitação funcional/ incapacidade devido a problema no sangue/ órgãos formadores de sangue/ mecanismo imune,incapacidade provocada por problemas de perda de sangue,,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
B29,1,Outros sinais/ sintomas do sangue/ sistema linfático/ baço NE,Outros sinais/ sintomas do sangue/ sistema linfático/ baço NE,R68.8,R68.8,,,esplenomegalia B87,,,
B70,7,Linfadenite aguda,Linfadenite aguda,L04,L04,"um ou mais gânglios linfáticos inflamados ou aumentados, sensíveis ou com dor, na mesma região anatômica, que apareceram recentemente (menos de 6 semanas) e cuja fonte primária de infecção é desconhecida",abcesso de gânglio linfático,linfadenite crônica B71; linfadenite mesentérica B71,gânglio linfático aumentado B02,,
B71,7,Linfadenite crónica NE,Linfadenite crónica NE,I88,I88,"gânglios linfáticos aumentados, dolorosos, persistindo mais de 6 semanas, ou identificação por cirurgia, ecografia ou linfografia de gânglios linfáticos mesentéricos aumentados e inflamados","linfadenite mesentérica, aguda ou crônica","linfadenite aguda (exceto mesentérica) B70, linfangite K99",gânglio linfático aumentado BO2,,
B72,7,Doença de Hodgkin/linfomas,Doença de Hodgkin/linfomas,"C81, C82, C83, C84, C85",C81,manifestação histológica característica,,,outras neoplasias malignas B74; neoplasias de benignidade ou malignidade não especificada (quando não há dados histológicos disponíveis) B75,,
B73,7,Leucemia,Leucemia,"C91, C92, C93, C94, C95",C95,manifestação histológica característica,todos os tipos de leucemia,,neoplasias de benignidade ou malignidade não especificada (quando não há dados histológicos disponíveis) B75,,
B74,7,Outra neoplasia maligna no sangue,Outra neoplasia maligna no sangue,"C37, C46.3, C77, C88, C90, C96",C96,,"doença mieloproliferativa, mieloma múltiplo","doença de Hodgkin, linfomas B72",,,
B75,7,Neoplasia benigna NE,Neoplasia benigna NE,"D15.0, D36.0, D45, D47",D47,,policitemia vera,,,,
B76,7,Rotura traumática do baço,Rotura traumática do baço,S36.0,S36.0,,,,,,
B77,7,Outras lesões traumáticas do sangue/linfa/baço,Outras lesões traumáticas do sangue/linfa/baço,T14.9,T14,,,ruptura traumática do baço B76,,,
B78,7,Anemia hemolítica hereditária,Anemia hemolítica hereditária,"D56, D57, D58",D58,"achados característicos com testes clínicos tais como eletroforese da hemoglobina, esfregaço de sangue ou aumento da fragilidade osmótica dos eritrócitos","anemia de células falciformes, característica da célula falciforme, esferocitose, talassemia",,outras malformações congênitas B79,,
B79,7,Outra malformação congênita do sangue/linfática,Outra malformação congénita do sangue/linfática,"D61.0, D64.0, D64.4, Q89.0, Q89.8",Q89.8,,anemia congênita,"anemia hemolítica hereditária B78, hemofilia B83",,,
B80,7,Anemia por deficiência de ferro,Anemia por deficiência ferro/ ferropriva,D50,D50,"diminuição da hemoglobina ou do hematócrito, atingindo níveis inferiores aos indicados para idade e sexo; e ainda evidência de perda de sangue, ou índices ou aparência de eritrócitos hipocrômicos microcíticos na ausência de talassemia, ou diminuição do nível de ferro no soro e aumento da capacidade de fixação do ferro, ou nível reduzido de ferritina no soro ou de hemossiderina na medula óssea, ou boa resposta à administração de ferro",anemia devido a perda de sangue,deficiência de ferro sem anemia T91,anemia não especificada B82,,
B81,7,Anemia perniciosa/deficiência de folatos,Anemia perniciosa/deficiência de folatos,"D51, D52",D53.9,"anemia macrocítica por índices ou esfregaço; e ainda nível baixo de vitamina B12 e ácido fólico,ou teste de Schilling positivo","anemia macrocítica, anemia megaloblástica, anemia perniciosa",deficiência de vitamina B12 sem anemia T91,,,
B82,7,Outras anemias NE,Outras anemias NE,"D46, D53, D55, D59, D60, D61.3, D61.8, D61.9, D62, D63, D64.1, D64.3, D64.8, D64.9",D64,,"anemia aplástica, anemia hemolítica adquirida, anemia por deficiência de proteínas",anemia por deficiência de ferro B80; anemia por deficiência de vit. B12/ácido fólico B81; anemia da gravidez W84,,,
B83,7,Púrpura/defeitos de coagulação,Púrpura/defeitos de coagulação,"D65, D66, D67, D68, D69",D69,,"plaquetas anormais, hemofilia, trombocitopenia",,,,
B84,7,Glóbulos brancos anormais,Glóbulos brancos anormais,"D70, D71, D72, R72",R72,,agranulocitose; eosinofilia; leucocitose; linfocitose; neutropenia,leucemia B73,,,
B87,7,Esplenomegalia,Esplenomegalia,"R16.1, R16.2",R16.1,,,hiperesplenismo B99,,,
B90,7,Infecção por VIH/ HIV/SIDA/ AIDS,Infecção por VIH/ HIV/SIDA/ AIDS,"B20, B21, B22, B23, B24, R75, Z21",B24,infecção pelo HIV comprovada por teste sorológico em um paciente com ou sem sintomas,,,,,
B99,7,Outra doença do sangue/linfáticos/baço,Outra doença do sangue/linfáticos/baço,"D73, D74, D75, D76, D77, D80, D81, D82, D83, D84, D86, D89, I89.1, I89.8, I89.9, R70, R71",D75,,doença auto-imune do sangue; defeitos do complemento; hiperesplenismo; imunodeficiência; outra malformação hematológica ou não especificada; VS elevada; malformação dos eritrócitos; sarcoidose; policitemia secundária,"linfadenite B70, B71; policitemia primária B75; doença do vírus da imunodeficiência humana (HIV) B90; linfoedema K99",,,
D01,1,Dor abdominal generalizada/cólicas,Dor abdominal generalizada/cólicas,"R10.0, R10.4",R10,,"cólicas abdominais, desconforto, dor NE; cólicas infantis","dores de estômago D02, azia D03, dores abdominais localizadas DO6, indigestão D07, dores por gases D08, cólicas biliares D98, cólicas renais U14, dismenorréia X02",,,
D02,1,"Dores abdominais, epigástricas","Dores abdominais, epigástricas",R10.1,R10.1,,"desconforto epigástrico, enfartamento; dores de estômago","dispepsia/indigestão D07; flatulência, gases D08",,,
D03,1,Azia/ Queimação,Azia/ queimação,R12,R12,,"acidez, pirose","dores epigástricas D02; indigestão D07; esofagite, refluxo D84",,,
D04,1,Dor anal/retal,Dor anal/retal,"K59.4, K62.8, R10.2, R10.3",R10.2,,espasmo anal; proctalgia fugaz,fezes duras D12,,,
D05,1,Irritação perianal,Irritação perianal,"L29.0, L29.3",L29.0,,prurido perianal,prurido da vulva X16,,,
D06,1,Outras dores abdominais localizadas,Outras dores abdominais localizadas,"R10.1, R10.2, R10.3",R10.3,,dores do cólon,dores epigástricas D02,,,
D07,1,Dispepsia/indigestão,Dispepsia/indigestão,K30,K30,,,"dores epigástricas D02, azia D03, eructação D08",,,
D08,1,Flatulência /gases/eructações,Flatulência /gases/eructações,R14,R14,,estômago inchado; arroto; dores provocadas por gases; distensão gasosa; gases,"indigestão NE D07, alteração do volume do abdômen D25",,,
D09,1,Náusea,Náusea,R11,R11,,,sensação de ter comido demais D02; vômitos D10; má disposição provocada pelo álcool P16;  perda de apetite T03; gravidez WO6,,"codificar náuseas e vômitos no modo problemas, como D10",
D10,1,Vomito,Vômito,"F50.5, R11",R11,,"emese, hiperemese, esforço de vômito",hematemese D14; durante a gravidez WO6,,"codificar diarréia e vômitos no modo problemas, como D11",
D11,1,Diarreia,Diarréia,"K52.9, K59.1",K59.1,,evacuação intestinal freqüente; fezes líquidas,"melenas D15, outras alterações do trânsito intestinal D18",,,
D12,1,Obstipação,Obstipação,"K56.4, K59.0",K59.0,,fezes duras,íleo D99,,,
D13,1,Icterícia,Icterícia,R17,R17,,ictérico,,,,
D14,1,Hematêmese/vómito sangue,Hematêmese/vômito sangue,K92.0,K92.0,,,hemoptise R24,,,
D15,1,Melena,Melena,K92.1,K92.1,,fezes escuras ou negras,sangue fresco expelido pelas fezes D16,,,
D16,1,Hemorragia retal,Hemorragia/ sangramento retal,K62.5,K62.5,,sangue fresco expelido pelas fezes,melena D15,,,
D17,1,Incontinência fecal,Incontinência fecal,R15,R15,,incontinência fecal,encoprese P13,,,
D18,1,Alterações nas fezes/mov. intestinais,Alterações nas fezes/movimentos intestinais,"R19.4, R19.5",R19.4,,,"diarréia D11, prisão de ventre D12, incontinência D17",,,
D19,1,Sinais/sintomas dos dentes/gengivas,Sinais/sintomas dos dentes/gengivas,"K00.7, K08.8, Z46.3",K08,,"problemas com a dentadura, inflamação ou sangramento gengival, dentição, dor de dentes",cáries D82,,,
D20,1,Sinais/sintomas da boca/língua/lábios,Sinais/sintomas da boca/língua/lábios,"K13.1, K13.7, K14.5, K14.6, K14.8, K14.9, R19.6, R68.2",R19.8,,mau hálito; língua saburrosa; lábios rachados; salivação; boca seca; halitose; lábios inchados;inflamação da boca,quilose D83; problemas nos dentes e gengivas D19; alteração do gosto N16; desidratação T11,,,
D21,1,Problemas de deglutição,Problemas de deglutição,R13,R13,,"sensação de sufocamento, disfagia",,,,
D23,1,Hepatomegalia,Hepatomegalia,"R16.0, R16.2",R16.2,,,,,,
D24,1,Massa abdominal NE,Massa abdominal NE,R19.0,R19.0,,relevo no abdômen,"esplenomegalia B87, hepatomegalia D23, massa renal U29",,,
D25,1,Distensão abdominal,Distensão abdominal,R19.0,R19.0,,abdômen inchado sem massa,"estômago dilatado, gases D08; massa abdominal D24; ascite D29",,,
D26,1,Medo de câncer no aparelho digestivo,Medo de câncer no aparelho digestivo,Z71.1,Z71.1,"paciente que receia um câncer do aparelho digestivo sem o ter, ou até o diagnóstico ser confirmado",,"se o paciente tem a doença, codifique-a",,,
D27,1,Medo de outras doenças aparelho digestivo,Medo de outras doenças aparelho digestivo,Z71.1,Z71.1,"paciente que receia uma doença do aparelho digestivo sem a ter, ou até o diagnóstico ser confirmado",receio de doença do aparelho digestivo diferente de câncer,"se o paciente sofre da doença, codifique-a",,,
D28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,limitação funcional/ incapacidade devido a problema digestivo,,"colostomia, gastrostomia A89; perturbações pós-operatórias D99; síndrome do esvaziamento rápido D99",,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
D29,1,Outros sinais/sintomas digestivos,Outros sinais/sintomas digestivos,"K03.8, R11, R18, R19.1, R19.2, R19.3, R19.8",R19.8,,"ascite, ranger de dentes",,,,
D70,7,Infecção gastrointestinal,Infecção gastrointestinal,"A00, A01, A02, A03, A04, A05, A06, A07, A08",A04,"paciente sintomático com evidência de bactéria patogênica, vírus ou protozoários por sorologia ou isolamento nas fezes ou em alimentos ingeridos","infecção gastrointestinal ou disenteria com organismos especificados incluindo campylobacter, giárdia, salmonela, shigella, febre tifóide, cólera","contatos, portadores de doença infecciosa/parasitária A99; infecções não-específicas ou presumidas D73",presumível infecção de gastrenterite D73,,
D71,7,Caxumba/parotidite epidêmica,Caxumba/parotidite epidêmica,B26,B26,"inflamação aguda não supurativa, não-eritematosa, difusa, dolorosa de uma ou mais glândulas salivares ou infecção aguda de caxumba diagnosticada por cultura ou sorologia; ou orquite numa pessoa exposta ao vírus da caxumba, após o período de incubação","meningite de caxumba, orquite de caxumba, pancreatite de caxumba",,massa ou inchaço localizado A08,,
D72,7,Hepatite viral,Hepatite viral,"B15, B16, B17, B18, B19",B19,"evidência de infecção viral hepática com inflamação, com ou sem icterícia; ou evidência sorológica de uma infecção com um vírus da hepatite",todo tipo de hepatite de origem supostamente viral; hepatite crônica ativa,hepatite NE D97,"icterícia D13, hepatomegalia D96",,
D73,7,"Gastroenterite, presumível infecção","Gastroenterite, presumível infecção",A09,A09,,diarréia ou vômitos presumivelmente infecciosos; disenteria NE; intoxicação alimentar; gripe gástrica,"perturbações digestivas funcionais D93; enterite e gastrenterite não-infecciosas D94, D99",,,
